folder,Lyrics
CKay-love nwantiti ah ah ah,"[Intro]
(Tu-tu-tu, tu-tu-tu-tu-tu)
(Tu-tu-tu-tu, tu-tu-tu-tu-tu) Yeah

[Verse 1]
My baby, my valentine, yeah
Girl, na you dey make my temperature dey rise
If you leave me, I go die, I swear
You are like the oxygen I need to survive
I'll be honest
Your loving dey totori me
I am so obsessed
I want to chop your nkwobi

[Pre-Chorus]
Ule, your body dey gbakam isi
Ule, open am make I see
Ule, nyem love nwantiti
Wey fit make a bad man sing ""Oh-ahh""

[Chorus]
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
You might also like[Verse 2]
Baby girl, where you from come? Yeah
Your body na follow come, yeah
No be silicon, uh
Baba God e finish work, eh-eh-eh-eh-eh
Without you, I go fit lose my mind
Without you, I go fit fall and die
Without you, I go give all my life
Without you, without you

[Pre-Chorus]
Ule, your body dey gbakam isi
Ule, open am make I see
Ule, nyem love nwantiti
Wey fit make a bad man sing ""Oh-ahh""

[Chorus]
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah
Ahh, ah-ah-ah-ah-ah, ah-ah-ah, ah-ah, ah-ah-ah

[Verse 3]
You mean the world to me
You're my living fantasy
I-I-I, I love you
I-I-I put no one above of you
Lover, don't give this love to nobody
Lover, don't call another nigga ""honey""
Lover, lover, I wanna be your lover
Forever, forever
[Outro]
Tu-tu-tu, tu-tu-tu-tu-tu
Tu-tu-tu-tu, tu-tu-tu-tu-tu
(Tempoe) CKay, yo12Embed"
"Coldplay, BTS-My Universe","[Intro: Chris Martin, All]
You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe, and I

[Verse 1: Chris Martin]
In the night, I lie and look up at you
When the morning comes, I watch you rise
There's a paradise they couldn't capture
That bright infinity inside your eyes

[Pre-Chorus: Jung Kook, All, Jung Kook & Chris Martin]
I fly to you every night (Fly)
Forgetting that it's just a dream
I meet you with a smile (Meet)
Never ending forever, baby

[Chorus: Chris Martin, All]
You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

[Verse 2: V, RM, RM & Chris Martin, RM & Jimin]
I was more at ease in the dark
In the shadows that grew long (Eyes)
And they said that we can't be together
Because, because we come from different sides
You might also like[Chorus: Chris Martin, All]
You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

[Post-Chorus: All, Jin]
My universe (Do-do, do-do)
My universe (Do-do, do-do)
My universe (Do-do, do-do)
(You make my world)
You make my world light up inside
Make my world light up inside

[Bridge: j-hope, SUGA]
What light me up are
Stars adorned with love made of you
In my universe, you
Make another world for me
Because you are my stars and my universe
These hardships are just temporary
Just shine as bright as you shine now
We will follow you to adorn this long night

[Pre-Chorus: Jung Kook, Jung Kook & Jimin, Chris Martin & Jung Kook]
I fly away with you
When I'm without you, I'm crazy
Please hold my hand
We are made of each other, baby
[Chorus: Chris Martin, All]
You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first (To put you first)
And you (You), you are (You are) my universe
And you make my world light up inside

[Post-Chorus: All]
My universe (Do-do, do-do)
You, you are (You are)
My universe (Do-do, do-do)
I just want (Just want)
My universe
You, you are (You are) my universe, and I
My universe

[Outro: All]
(Ayy, ayy, ayy, ayy, ayy)21Embed"
Cris Mj-Una Noche en Medelln,"[Letra de ""Una Noche en Medellín""]

[Estribillo]
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym

[Verso 1]
Te voy a hacerte completa
'Tá buscando que yo le meta
Ya llegamo' a la meta
Ahora nadie aprieta
Y ahí me puse las Balenciaga
Mami, no te haga', vente pa'cá, tú ere' brava
Me gusta porque ere' malvada
No está operada y así mata las mirada'
Y me ayuda a contar billete'
Saca su juguete, to' ya saben que le mete
Tú sabe', no ando al garete
Encima mío te quito el brazalete
See Cris Mj LiveGet tickets as low as $69You might also like[Estribillo]
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym

[Verso 2]
Si tú quiere' yo te pago el gym
Te llevo al Mandarín y te hago blin-blin
Mi iPhone suena ""ring, ring""
Me está llamando el dinero fácil, goteando mi drip
Esa gata lo que busca e' guayeteo, fumeteo
Que yo me la robe y formemo' el partyseo
A mí me gusta el rebuleo, a ti te gusta el bellaqueo
Como yo a ti te leo, así que toma guaracheo
Que si yo me enre'o y ahora mismo te volteo, ma'
Tú ere' la única que sabe mis deseo'
A ti yo no te bromeo
Baby, hagámoslo sin miedo (Brr)

[Estribillo]
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym
Nena, dime si tú 'tá pa' mí
Como yo 'toy puesto pa' ti
Te llevo una noche a Medellín
Y te pago el gym
[Outro]
Ey, ey
Cris Mj, el má' que suena
Pa' que sepa'
Dímelo, Fran C in the beat
Matando a lo' má' lechón
Prra
Perreo pa' que lo bailen
Fran C in the beat
Ya saben qué lo que
Stars Music2Embed"
"DaBaby, Roddy Ricch-ROCKSTAR feat Roddy Ricch","1. Justin Bieber - Anyone

2. Dua Lipa - Levitating (feat. DaBaby)

3. Ariana Grande - 34+35

4. The Kid LAROI - WITHOUT YOU

5. Ed Sheeran - Afterglow

6. Lil Nas X - HOLIDAY

7. Shawn Mendes & Justin Bieber - Monster

8. Billie Eilish - Therefore I Am

9. Taylor Swift - willow

10. Ariana Grande - positions

11. CJ - Whoopty

12. HVME - Goosebumps

13. Pop Smoke - What You Know Bout Love
14. Bad Bunny & Jhay Cortez - Dakiti

15. 24kGoldn & iann dior - Mood

16. Miley Cyrus & Dua Lipa - Prisioner

17. SZA - Good Days

18. MEDUZA - Paradise (feat. Dermot Kennedy)

19. Ritt Momney - Put Your Records On

20. Justin Bieber & benny blanco - Lonely

21. Tate McRae - you broke me first

22. Tiësto - The Business

23. Internet Money - Lemonade (feat. Don Toliver, Gunna & NAV)

24. Glass Animals - Heat Waves

25. Black Eyes Peas & Shakira - GIRLS LIKE ME

26. Playboi Carti - Slay3r
27. Juice WRLD & The Kid LAROI - Reminds Me Of You

28. Foushee - Deep End

29. Ariana Grande - pov

30. Jason Derulo - Take You Dancing

31. Maluma & The Weeknd - Hawai (Remix)

32. Megan Thee Stallion - Body

33. Jack Harlow - Way Out (feat. Big Sean)

34. The Kid LAROI - SO DONE

35. Machine Gun Kelly & blackbear - my ex's best friend

36. Shawn Mendes - Wonder

37. Jason Derulo & Nuka - Love Not War

38. Ofenbach & Quarterhead - Head Shoulders Knees & Toes

39. Pink Sweat$ - At My Worst
40. Pop Smoke, Lil Baby & DaBaby - For The Night

41. BTS - Dynamite

42. Robin Schulz - All We Got (feat. KIDDO)

43. Joel Corry & MNEK - Head & Heart

44. Karol G - BICHOTA

45. Drake & Lil Durk - Laugh Now Cry Later

46. DaBaby & Roddy Ricch - Rockstar

47. Ashnikko - Daisy

48. Bad Bunny & ROSALIA - LA NOCHE DE ANOCHE

49. Harry Styles - Golden

50. Claro - SofiaEmbed"
"David Guetta, Ayra Starr, Lil Durk-Big FU","[Intro: Lil Durk]
Woah, oh
Yeah, yeah (Woah, oh)
Two more times, can I come see you?
Yeah

[Verse 1: Ayra Starr]
Tonight
I hit up your line a couple times
And I see you never reply
And I
Seen all the pictures that you post, oh no
I notice my key doesn't fit in your lock
And you're blockin' my calls (My calls)
I'm happy to see that you finally got
Everything that you want

[Chorus: Ayra Starr]
Send a big ""Fuck you"" to my replacement
I see you're someone else's favorite now
In m-my own mind, I might be crazy
I swear to God that I'm not hating, no
Send a big ""Fuck you"" to my rep—
Send a big ""Fuck you""

[Verse 2: Lil Durk]
(Oh-woah)
I love to party, can you come and party with me?
Let's go to Fiji 'cause I know you need it
Let's take a vacation from party cities
All thеse bitches, they so artificial
Thеy be laughin' at me when I argue with you
And my mama love you like my mama had you
But I love your mama for havin' you (Yeah-yeah-yeah)
Pass me a cup, I don't even drink, but I'm gettin' drunk (Yeah-yeah-yeah)
I don't even smoke, pass me a blunt, I want a puff (Yeah-yeah-yeah)
You can't stop me, you gotta block me 'cause I'm turnt up (Yeah-yeah-yeah)
But
You might also like[Chorus: Ayra Starr, Lil Durk]
Send a big ""Fuck you"" to my replacement
I see you're someone else's favorite now (Yeah)
In m-my own mind, I might be crazy
I swear to God that I'm not hating, no
Send a big ""Fuck you"" to my rep—
Yeah, yeah
Two more times
Send a big ""Fuck you"" to my replacement

[Post-Chorus: Lil Durk, Ayra Starr]
I love to party, can you come and party with me?
In m-my own mind, I might be crazy
I love to party, can you come and party with me?
Send a big ""Fuck you"" to my rep—Embed"
"David Guetta, Bebe Rexha-Im Good Blue","[Chorus]
I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright

[Drop]
Don't you know I'm good, yeah, I'm feelin' alright

[Verse]
You know I'm down for whatever tonight
I don't need the finer things in life
No matter where I go, it's a good time, yeah
And I, I don't need to sit in VIP
Middle of the floor, that's where I'll be
Don't got a lot, but that's enough for me, yeah

[Chorus]
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
You might also like[Drop]
I'm good
Good
I'm good
Don't you know I'm good, yeah, I'm feelin' alright

[Bridge]
So I just let it go, let it go
Oh, na-na-na-na-na
No, I don't care no more, care no more
Oh, na-na-na-na-na
So come on, let me know, let me know
Put your hands up, na-na-na
No, baby, nothing's gonna stop us tonight

[Chorus]
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright37Embed"
"David Guetta, Kim Petras-When We Were Young The Logical Song","15 ContributorsTranslationsDeutschWhen We Were Young (The Logical Song) Lyrics[Intro]
When we were young, it seemed that life was so wonderful
A colorful miracle
Remember how everything was so beautiful?

[Verse 1]
I miss the old days when the skies were blue
I miss the long nights stayin' up with you
I miss the summer 'cause we were in it together
I miss my hometown, don't you miss it too?
Drivin' to nowhere, nothin' else to do
I miss the old days, I wish they lasted forever

[Chorus]
When we were young, it seemed that life was so wonderful
A colorful miracle
Remember how everything was so beautiful?
Woah, when we were young, it seemed that life was so simple then
So innocent, infinite
Look at us now, it's so different, isn't it?

[Verse 2]
I miss the ocean, the hair across your face
The little moments before we moved away
And lookin' back now, we shoulda stayed there forever
And now we're over the moon and we're under the stars
Know where we've been and we know who we are
And even as time goes by, I'll always remember
You might also like[Chorus]
When we were young, it seemed that life was so wonderful
A colorful miracle
Remember how everything was so beautiful?
Woah, when we were young, it seemed that life was so simple then
So innocent, infinite
Look at us now, it's so different, isn't it?Embed"
"Demi Lovato, Ariana Grande-Met Him Last Night feat Ariana Grande","1. Billie Eilish - Your Power

2. Doja Cat - Kiss Me More (feat. SZA)

3. Dua Lipa - Levitating (feat. DaBaby)

4. The Kid Laroi - WITHOUT YOU (Remix) (feat. Miley Cyrus)

5. Lil Nas X - MONTERO (Call Me By Your Name)

6. Justin Bieber - Peaches (feat. Daniel Caesar & Giveon)

7. The Weeknd & Ariana Grande - Save Your Tears (Remix)

8. Polo G - RAPSTAR

9. Giveon - Heartbreak Anniversary

10. Masked Wolf - Astronaut In The Ocean

11. Travis Scott, HVME - Goosebumps (Remix)

12. DJ Khaled - I DID IT (feat. Post Malone, Megan Thee Stallion, DaBaby & Lil Baby)

13. Bruno Mars, Anderson .Paak & Silk Sonic - Leave The Door Open
14. Maroon 5 - Beautiful Mistakes (feat. Megan Thee Stallion)

15. Olivia Rodrigo - deja vu

16. Justin Bieber - Hold On

17. Saweetie & Doja Cat - Best Friend

18. Glass Animals - Heat Waves

19. Nightcrawlers, Riton, Mufasa & Hypeman - Friday (Dopamine Re-Edit)

20. Cardi B - Up

21. Dua Lipa - We're Good

22. Duncan Laurence - Arcade

23. Los Legendarios, Wisin & Jhay Cortez - Fiel

24. Tiësto - The Business

25. Ava Max - My Head & My Heart

26. Kali Uchis - telepatía
27. Doja Cat - Streets

28. ATB, Topic & A7S - Your Love (9PM)

29. Regard, Troye Sivan & Tate McRae - You

30. Sebastián Yatra & Myke Towers - Pareja Del Año

31. Demi Lovato & Ariana Grande - Met Him Last Night

32. AURORA - Runaway

33. P!nk & Willow Sage Hart - Cover Me In Sunshine

34. Tom Grennan - Little Bit of Love

35. Joel Corry, RAYE & David Guetta - BED

36. Mimi Webb - Good Without

37. Zoe Wees - Girls Like Us

38. H.E.R. - Come Through (feat. Chris Brown)

39. Ariana Grande - 34+35
40. MEDUZA - Paradise (feat. Dermot Kennedy)

41. Gera MX & Christian Nodal - Botella Tras Botella

42. SZA - Good Days

43. ROSÉ - On The Ground

44. Ofenbach & Lagique - Wasted Love

45. Imagine Dragons - Follow You

46. Twenty One Pilots - Shy Away

47. Olivia Rodrigo - drivers license

48. 24kGoldn & iann dior - Mood

49. Lil Tjay & 6LACK - Calling My Phone

50. Bad Bunny & Jhay Cortez - DÁKITIEmbed"
"Doja Cat, SZA-Kiss Me More feat SZA","1. Doja Cat & SZA - Kiss Me More

2. Dua Lipa - Levitating (feat. DaBaby)

3. The Weeknd & Ariana Grande - Save Your Tears (Remix)

4. Justin Bieber - Peaches (feat. Daniel Caesar & Giveon)

5. Lil Nas X - Montero (Call Me By Your Name)

6. Bruno Mars, Andersson .Paak & Silk Sonic - Leave The Door Open

7. Billie Eilish - Your Power

8. Polo G - RAPSTAR

9. Masked Wolf - Astronaut In The Ocean

10. Maroon 5 & Megan Thee Stallion - Beautiful Mistakes

11. Olivia Rodrigo - deja vu

12. The Kid LAROI - WITHOUT YOU

13. Giveon - Heartbreak Anniversary
14. Travis Scott & HVME - Goosebumps (Remix)

15. Tion Wayne, ArrDee, E1 (3×3), ZT (3×3), Bugzy Malone, Buni, Fivio Foreign & Darkoo - Body (Remix)

16. Glass Animals - Heat Waves

17. Justin Bieber - Hold On

18. Dua Lipa - We're Good

19. Coldplay - Higher Power

20. OneRepublic - Run

21. Olivia Rodrigo - good 4 u

22. Saweetie & Doja Cat - Best Friend

23. J. Cole - i n t e r l u d e

24. Los Legendarios, Wisin & Jhay Cortez - Fiel

25. Riton, Nightcrawlers, Mufasa & Hypeman - Friday (Dopamine Re-Edit)

26. Cardi B - Up
27. DJ Khaled, Post Malone, DaBaby, Megan Thee Stallion & Lil Baby - I DID IT

28. Ducan Laurence - Arcade

29. Sebastian Yatra & Myke Towers - Pareja Del Año

30. Tiësto - The Business

31. Doja Cat - Streets

32. ATB, Topic & A7S - Your Love (9PM)

33. Joel Corry, RAYE & David Guetta - BED

34. Kali Uchis - telepatía

35. Tom Grennan - Little Bit of Love

36. Ava Max - My Head & My Heart

37. AURORA - Runaway

38. Majestic & Boney M. - Rasputin

39. Trippie Redd & Playboi Carti - Miss The Rage
40. Nio Garcia & Flow La Movie - AM

41. Regard, Troye Sivan & Tate McRae - You

42. Mimi Webb - Good Without

43. Zoe Wees - Girls Like Us

44. MEDUZA - Paradise (feat. Dermot Kennedy)

45. Ofenbach & Lagique - Wasted Love

46. Ariana Grande - 34+35

47. P!nk & Willow Sage Hart - Cover Me In Sunshine

48. SZA - Good Days

49.  H.E.R - Come Through (feat. Chris Brown)

50. 24kGoldn & iann dior - MoodEmbed"
"Doja Cat, The Weeknd-You Right","[Pre-Chorus: Doja Cat]
I got a man, but I want you
I got a man, but I want you
And it's just nerves, it's just dick
Makin' me think 'bout someone new
You know I got so much to say
I try to hide it in my face
And it don't work, you see through
That I just wanna get with you
And you're right

[Chorus: Doja Cat]
You right, I
Got my guy
But I, I
Can't help it, I want you
Said you right, I
Got my guy
But I, I
Can't help it, I want you

[Verse 1: Doja Cat]
I can't stop and look the other way
'Cause I know what could be, babe
And you never feel the same
You'd be thinkin' 'bout it every day
Don't believe in fairytales
But we got our fantasies
And it's me and you, no she
Tryna be all through your sheets
Have you all on top of me
Actin' like it's not that deep
Oh, you could take it out on me
Tell me what it's 'bout to be
Really feel it's bound to bе
I can't tell no one, but they all know
You might also like[Pre-Chorus: Doja Cat]
I got a man, but I want you
I got a man, but I want you
And it's just nеrves, it's just dick
Makin' me think 'bout someone new
You know I got so much to say
I try to hide it in my face
And it don't work, you see through
That I just wanna get with you
And you're right

[Chorus: Doja Cat]
You right, I (You right)
Got my guy (You right)
But I, I
Can't help it, I want you
Said you right, I (You right)
Got my guy (You right)
But I, I
Can't help it, I want you

[Verse 2: The Weeknd]
Girl, I want you like you want me too
I feel that energy (Oh yeah)
When you're on top of me (Oh yeah)
I know your man, he ain't controllin' you
But you still hesitate (Oh)
'Cause you choose loyalty (Oh yeah)
And I know your history (Hey)
Met him before your peak (Hey)
He's so connected to that woman that you used to be
But-but-but this sex will cloud your memory
A couple strokes to put it in, then you'll belong to me
[Pre-Chorus: Doja Cat & The Weeknd]
I got a man, but I want you
I got a man, but I want you (Oh)
And it's just nerves, it's just dick
Makin' me think 'bout someone new
You know I got so much to say
I try to hide it in my face
And it don't work, you see through
That I just wanna get with you (Yeah, yeah, yeah, yeah, yeah)
And you're right

[Chorus: Doja Cat]
You right, I (Right)
Got my guy (I got my)
But I, I (I)
Can't help it, I want you
Said you right, I (Yeah)
Got my guy (Yeah)
But I, I (Yeah)
Can't help it, I want you65Embed"
Doja Cat-Need to Know,"[Intro]
Yeah

[Chorus]
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm

[Verse 1]
What's your size? (Size)
Add, subtract, divide ('Vide)
Daddy don't throw no curves (Curves)
Hold up, I'm goin' wide (Wide)
We could just start at ten (Ten)
Then we can go to five (Five)
I don't play with my pen (Pen)
I mean what I writе
Yeah-yeah, woah-woah-woah
I just can't help but bе sexual (Oh)
Tell me your schedule (Yeah)
I got a lotta new tricks for you, baby
Just sayin' I'm flexible (I will)
I do what I can to get you off (I will)
Might just fuck him with my makeup on (I will)
Eat it like I need an apron on (Yeah, oh)
Eat it 'til I need to change my thong (Yeah, ayy)
We could do it to your favorite song (Yeah, ayy)
Take a ride into the danger zone
You know my nigga be buggin' me
I just be wonderin' if you can fuck on me better
Itchin' for me like an ugly sweater
Need it in me like a Chuck E. need cheddar
I need to know
See Doja Cat LiveGet tickets as low as $45You might also like[Chorus]
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm

[Bridge]
You're exciting, boy, come find me
Your eyes told me, ""Girl, come ride me""
Fuck that feeling both us fighting
Could he try me? (Yeah) Mmm, most likely

[Verse 2]
Tryna see if you could handle this ass
Prolly give his ass a panic attack
Sorry if I gave a random erection
Prolly thinkin' I'm a telekinetic
Oh, wait, you a fan of the magic?
Poof, pussy like an Alakazam
I heard from a friend of a friend
That that dick was a ten out of ten
I can't stand it, just one night me
Clink with the drink, gimme a sip
Tell me what's your kink, gimme the dick
Spank me, slap me, choke me, bite me (Ew)
Oh, wait, I can take it (Ah)
Give a fuck 'bout what your wifey's sayin' (Yeah)
[Chorus]
Wanna know what it's like (Like)
Baby, show me what it's like (Like)
I don't really got no type (Type)
I just wanna fuck all night
Yeah-yeah, oh-woah-woah (Oh, ooh, mmm)
Baby, I need to know, mmm (Yeah, need to know)
I just been fantasizin' (Size)
And we got a lotta time (Time)
Baby, come throw the pipe (Pipe)
Gotta know what it's like (Like)
Yeah-yeah, oh-woah-woah
Baby, I need to know, mmm117Embed"
Doja Cat-Paint The Town Red,"[Intro: Dionne Warwick]
By
Walk on by
Walk on by
Walk on by
Walk on by

[Chorus: Doja Cat]
Yeah, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don’t care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red

[Post-Chorus: Doja Cat]
Mm, she the devil
She a bad lil’ bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle (Yeah, yeah)
See Doja Cat LiveGet tickets as low as $45You might also like[Verse 1: Doja Cat]
Said my happiness is all of your misery
I put good dick all in my kidneys
This Margiel' don't come with no jealousy
My illness don't come with no remedy
I am so much fun without Hennessy
They just want my love and my energy
You can't talk no shit without penalties
Bitch, I’m in yo’ shit if you send for me
I'm going to glow up one more time
Trust me, I have magical foresight
You gon’ see me sleepin' in courtside
You gon' see me eatin' ten more times
Ugh, you can’t take that bitch nowhere
Ugh, I look better with no hair
Ugh, ain't no sign I can't smoke here
Ugh, gimme the chance and I'll go there (Yeah)

[Chorus: Doja Cat]
Yeah, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red
[Post-Chorus: Doja Cat]
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle (Yeah, yeah)

[Verse 2: Doja Cat]
Said pop make money, now you try, bitch
You could use a revamp with a new vibe, sis
I don't need a big feature or a new sidekick
I don't need a new fan 'cause my boo like it
I don't need to wear a wig to make you like it
I'm a two-time bitch, you ain't knew I'd win?
Throw a shot like you tryna have a food fight then
All my opps waitin' for me to be you, I bet
Said I got drive, I don't need a car
Money really all that we fiendin' for
I'm doin' things they ain't seen before
Fans ain't dumb, but extremists are
I'm a demon lord
Fall off what? I ain't seen the horse
Called your bluff, better cite the source
Fame ain't somethin' that I need no more
[Chorus: Doja Cat]
'Cause, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red

[Post-Chorus: Doja Cat]
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
[Outro: Dionne Warwick]
Walk on by
Walk on by
Walk on by
Walk on by
Walk on by12Embed"
Doja Cat-Say So,"[Chorus]
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so

[Verse 1]
It's been a long time since you fell in love
You ain't coming out your shell, you ain't really been yourself
Tell me, what must I do? (Do tell, my love)
'Cause luckily, I'm good at reading
I wouldn't bug him, but he won't stop cheesin'
And we can dance all day around it
If you frontin', I'll be bouncing
If you want it, scream it, shout it, babe
Before I leave you dry

[Chorus]
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so (Yeah)
See Doja Cat LiveGet tickets as low as $45You might also like[Verse 2]
Let me check my chest, my breath right quick (Ha)
He ain't ever seen it in a dress like this (Ah)
He ain't ever even been impressed like this
Prolly why I got him quiet on the set like zip
Like it, love it, need it bad
Take it, own it, steal it fast
Boy, stop playing, grab my ass
Why you actin' like you shy? (Hot)
Shut it, save it, keep it pushin'
Why you beating 'round the bush?
Knowin' you want all this woman
Never knock it 'til you try (Yah, yah)
All of them bitches hating I have you with me
All of my niggas sayin' you mad committed
Realer than anybody you had, and pretty
All of the body-ody, the ass and titties

[Chorus]
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so
Day to night to morning, keep with me in the moment
I'd let you had I known it, why don't you say so?
Didn't even notice, no punches left to roll with
You got to keep me focused; you want it? Say so
[Outro]
Mm-hmm
Uh-huh, oh
Uh-huh, uh-huh, uh-huh
Mm-hmm
Uh-huh, oh
Uh-huh, uh-huh, uh-huh117Embed"
Doja Cat-Streets,"[Intro]
I've been goin' through some things (Oh)
I struggle with my inner man (Yeah, yeah)
I hustle, I'll do what I can to get this money
Blaq Tuxedo
Don Dada on the, Don Dada on the beat

[Chorus]
Like you, like you
Like you, ooh
I found it hard to find someone like you
Like you, like you
Send your location, come through

[Post-Chorus]
I can't sleep no more
In my head, we belong
And I can't be without you
Why can't I find no one like you?
I can't sleep no more
In my head, we belong
And I can't be without you
Why can't I find no one like you?

[Verse 1]
Baby, we tried to fight it
We all been there some days
Thought I needed something else
And acted like I was okay
We just had to work it out
And baby, I needed space
Ain't nobody 'round here on your level
You're so far away
You're pouring your heart out
I'm acting like I knew
You held me so down
So down I never grew, oh
I tried to find out
When none of them came through
And now I'm stuck in the middle
And baby had to pull me out, oh
See Doja Cat LiveGet tickets as low as $45You might also like[Chorus]
Like you, like you
Like you, ooh
I found it hard to find someone like you
Like you, like you
Send your location, come through (Yeah)

[Verse 2]
Damn papa, you a rare breed, no comparing
And it's motherfuckin' scary
Tryna keep him 'cause I found him
Let a ho know I ain't motherfuckin' sharing
I could take you to the parents, then to Paris
Plan a motherfuckin' wedding
You the type I wanna marry (Yeah) and keep you merry
I'll put the ring on when you ready
We play our fantasies out in real life ways and
No Final Fantasy, can we end these games though?
You give me energy, make me feel lightweight (Woo)
Like the birds of a feather, baby (Woo)
We real life made for each other (Woo)
And it's hard to keep my cool
When other bitches tryna get with my dude and
When other chickens tryna get in my coop
'Cause you're a one in a million
There ain't no man like you
[Chorus]
Like you, like you
Like you, ooh
I found it hard to find someone like you
Like you, like you
Send your location, come through

[Post-Chorus]
I can't sleep no more
In my head, we belong
And I can't be without you
Why can't I find no one like you?
I can't sleep no more
In my head, we belong
And I can't be without you
Why can't I find no one like you?130Embed"
